Branch;ID;ParentID;Time;Move;Opponent;Select;Visit;Win
0;140737230111472;140736961698832;20;4;1;0;0.0001;0.678872
0;140736961755360;140736961698832;20;46;1;0;0.00011;0.709762
0;16432576;140736961698832;20;47;1;0;0.00011;0.525739
0;140736961774112;140736961698832;20;26;1;0;9e-05;0.663426
0;140737095683696;140736961698832;20;49;1;0;0.0001;0.55518
0;140736961784432;140736961698832;20;1;1;0;0.0001;0.676918
0;140737095686720;140736961698832;20;50;1;0;9e-05;0.637014
0;140737230147392;140736961698832;20;7;1;0;8e-05;0.687179
0;140737095699376;140736961698832;20;45;1;0;9e-05;0.589407
0;140737230162288;140736961698832;20;9;1;0;8e-05;0.682126
0;140737095708000;140736961698832;20;31;1;0;8e-05;0.681474
0;16467168;140736961698832;20;35;1;0;9e-05;0.616183
0;140736961813616;140736961698832;20;37;1;0;9e-05;0.708786
0;140737230174080;140736961698832;20;32;1;0;0.00011;0.686706
0;140736962000800;16424080;21;21;0;0;0.27144;0.745211
0;16568240;16424080;21;24;0;1;0.46802;0.752167
0;140737095864672;16424080;21;19;0;0;0.26065;0.744613
0;140737100140592;16568240;22;35;1;0;0.01362;0.782977
0;20766224;16568240;22;6;1;0;0.01557;0.774562
0;140737100140736;16568240;22;7;1;0;0.01491;0.777349
0;20766368;16568240;22;47;1;0;0.02997;0.740539
0;140737100141168;16568240;22;37;1;0;0.01359;0.783042
0;20766880;16568240;22;44;1;1;0.03162;0.73826
0;140737100141392;16568240;22;3;1;0;0.01526;0.775713
0;140737100141824;16568240;22;31;1;0;0.01307;0.785623
0;20767536;16568240;22;51;1;0;0.04638;0.7233
0;20768256;16568240;22;41;1;0;0.02052;0.758918
0;140737100142544;16568240;22;1;1;0;0.01577;0.773726
0;20768400;16568240;22;46;1;0;0.02926;0.741575
0;140737100142688;16568240;22;50;1;0;0.04493;0.724471
0;140737100143120;16568240;22;26;1;0;0.01371;0.782499
0;20768976;16568240;22;40;1;0;0.01954;0.761498
0;140737100143552;16568240;22;45;1;0;0.02739;0.74456
0;20769408;16568240;22;4;1;0;0.0148;0.777619
0;140737100143840;16568240;22;9;1;0;0.01588;0.773325
0;20769824;16568240;22;49;1;0;0.04475;0.724648
0;20770528;16568240;22;32;1;0;0.01302;0.785949
0;140737100144128;16568240;22;8;1;0;0.01465;0.77823
0;140736966317440;20766880;23;45;1;0;0.00175;0.698476
0;140737100150448;20766880;23;50;1;0;0.00195;0.678715
0;140736966319680;20766880;23;37;1;0;0.00133;0.751019
0;140737100158240;20766880;23;31;1;0;0.00125;0.769498
0;140736966326864;20766880;23;22;1;1;1.00142;0.74671
0;140737100161888;20766880;23;47;1;0;0.00172;0.700363
0;140736966333664;20766880;23;46;1;0;0.00171;0.700922
0;140737100162896;20766880;23;35;1;0;0.00121;0.774247
0;140736966340288;20766880;23;32;1;0;0.00127;0.765642
0;20789488;20766880;23;41;1;0;0.00157;0.717859
0;140737100169088;20766880;23;40;1;0;0.00159;0.71609
0;140737233930144;20766880;23;1;1;0;0.00126;0.761555
0;140736966351232;20766880;23;9;1;0;0.00127;0.763339
0;140737233939648;20766880;23;51;1;0;0.00188;0.68427
0;140737233941952;20766880;23;4;1;0;0.0012;0.777424
0;140736966366048;20766880;23;7;1;0;0.00126;0.763284
0;140737233944976;20766880;23;16;1;0;0.00114;0.785164
0;20802720;20766880;23;3;1;0;0.00129;0.762595
0;140736966340432;20766880;23;6;1;0;0.00122;0.768536
0;140737100186816;20766880;23;26;1;0;0.0013;0.755896
0;20811664;20766880;23;8;1;0;0.00128;0.760036
0;140737233955328;20766880;23;49;1;0;0.00195;0.679194
0;140737100236272;140736966326864;24;39;0;0;0.14201;0.744308
0;20878480;140736966326864;24;11;0;0;0.06276;0.723972
0;20969424;140736966326864;24;42;0;0;0.28222;0.756035
0;140736966543872;140736966326864;24;48;0;0;0.12037;0.740812
0;21051008;140736966326864;24;19;0;0;0.05187;0.717961
0;140737100398896;140736966326864;24;21;0;0;0.05441;0.719486
0;140737234238768;140736966326864;24;43;0;1;0.28783;0.756345
0;140736966742160;140737234238768;25;3;1;0;0.01444;0.755862
0;140737100997488;140737234238768;25;9;1;0;0.01485;0.754119
0;140737235024688;140737234238768;25;1;1;0;0.01404;0.757729
0;140736967598928;140737234238768;25;4;1;0;0.01375;0.75891
0;140736967943520;140737234238768;25;37;1;0;0.01462;0.755055
0;140737235613136;140737234238768;25;6;1;0;0.01487;0.754064
0;140737235843168;140737234238768;25;46;1;0;0.01202;0.767901
0;22784400;140737234238768;25;7;1;0;0.01271;0.764143
0;23083184;140737234238768;25;47;1;0;0.01202;0.767926
0;140737102124240;140737234238768;25;40;1;1;0.01376;0.758847
0;23216656;140737234238768;25;41;1;0;0.0139;0.758501
0;140736968697776;140737234238768;25;49;1;0;0.01754;0.744079
0;140737102362640;140737234238768;25;51;1;0;0.01729;0.744883
0;140736969131376;140737234238768;25;26;1;0;0.01558;0.751183
0;23875808;140737234238768;25;45;1;0;0.01306;0.762324
0;140737103143552;140737234238768;25;35;1;0;0.01347;0.760362
0;140737237294896;140737234238768;25;8;1;0;0.01419;0.756949
0;140736969511088;140737234238768;25;31;1;0;0.01416;0.757141
0;140736969963904;140737234238768;25;32;1;0;0.01455;0.755311
0;140737237843968;140737234238768;25;50;1;0;0.01719;0.745246
0;24937760;140737102124240;26;41;1;1;0.00087;0.6838
0;140736970236224;140737102124240;26;31;1;0;0.00068;0.750851
0;24952880;140737102124240;26;6;1;0;0.00073;0.736115
0;140736970251632;140737102124240;26;32;1;0;0.00069;0.74774
0;140737238213200;140737102124240;26;46;1;0;0.00065;0.770714
0;140737103887456;140737102124240;26;26;1;0;0.00076;0.733209
0;140736970262288;140737102124240;26;4;1;0;0.0007;0.749842
0;24969584;140737102124240;26;9;1;0;0.00065;0.77221
0;140737238225584;140737102124240;26;47;1;0;0.00064;0.77171
0;140736970279568;140737102124240;26;1;1;0;0.00068;0.755898
0;24989888;140737102124240;26;7;1;0;0.0007;0.742469
0;140736970286768;140737102124240;26;16;1;0;0.0007;0.750017
0;140736970290512;140737102124240;26;50;1;0;0.00067;0.762036
0;25004000;140737102124240;26;45;1;0;0.00067;0.764476
0;140737103927904;140737102124240;26;49;1;0;0.00068;0.754899
0;140737238265008;140737102124240;26;8;1;0;0.00066;0.761397
0;140737103943232;140737102124240;26;35;1;0;0.0007;0.754519
0;140736970298576;140737102124240;26;51;1;0;0.0007;0.742545
0;140737238281120;140737102124240;26;3;1;0;0.00069;0.747756
0;25020176;140737102124240;26;37;1;0;0.00072;0.742963
0;25118544;24937760;27;31;1;0;6e-05;0.564662
0;140736970383872;24937760;27;45;1;0;5e-05;0.668062
0;140737238497728;24937760;27;50;1;1;5e-05;0.587858
0;25258656;24937760;27;8;1;0;6e-05;0.519659
0;25411872;24937760;27;46;1;0;7e-05;0.687275
0;140737104318800;24937760;27;26;1;0;6e-05;0.50623
0;140736970729072;24937760;27;1;1;0;5e-05;0.567283
0;25558240;24937760;27;7;1;0;5e-05;0.487605
0;25605616;24937760;27;51;1;0;6e-05;0.670211
0;25725216;24937760;27;35;1;0;6e-05;0.564373
0;140737238956032;24937760;27;49;1;0;4e-05;0.639068
0;140736970942832;24937760;27;4;1;0;5e-05;0.530076
0;140737104903472;24937760;27;3;1;0;5e-05;0.480251
0;25878288;24937760;27;37;1;0;5e-05;0.505408
0;140737239162368;24937760;27;32;1;0;6e-05;0.5131
0;140736971265328;24937760;27;6;1;0;6e-05;0.488943
0;140737105069248;24937760;27;16;1;0;6e-05;0.541623
0;140737239298256;24937760;27;47;1;0;5e-05;0.677982
0;140736971298112;24937760;27;9;1;0;5e-05;0.531081
0;140736972667584;140737238497728;28;1;1;0;2e-05;0.391084
0;140736973403184;140737238497728;28;4;1;0;2e-05;0.342386
0;140737241479552;140737238497728;28;16;1;0;2e-05;0.319356
0;24892848;140737238497728;28;3;1;1;1e-05;0
0;15997232;24892848;29;11;0;1;1e-05;0
0;15997376;15997232;30;8;1;1;1e-05;0
0;15997520;15997376;31;6;1;1;1.00001;0.788537
0;140737108447792;15997520;32;19;0;0;0.10818;0.775656
0;140737108447936;15997520;32;21;0;0;0.11441;0.776962
0;140737108448112;15997520;32;39;0;1;0.27512;0.792854
0;140737108448304;15997520;32;48;0;0;0.23879;0.790736
0;140737108448448;15997520;32;42;0;0;0.26355;0.792231
0;140737108448672;140737108448112;33;49;1;1;0.01996;0.792343
0;140736974745120;140737108448112;33;46;1;0;0.01164;0.825636
0;29104816;140737108448112;33;26;1;0;0.02252;0.786039
0;29105584;140737108448112;33;37;1;0;0.02023;0.791528
0;140736974745824;140737108448112;33;32;1;0;0.02335;0.784233
0;140736974746624;140737108448112;33;7;1;0;0.02223;0.786802
0;29136368;140737108448112;33;1;1;0;0.02214;0.786965
